"","V1"
"1184","LDLRAD4"
"1185","LEPROTL1"
"1186","LETM2"
"1187","LGI4"
"1188","LGR4"
"1189","LGR6"
"1190","LHFP"
"1191","LHFPL3"
"1192","LIFR"
"1193","LIMCH1"
"1194","LIMK2"
"1195","LIMS1"
"1196","LIMS2"
"1197","LIN28B"
"1198","LINC00173"
"1199","LINC00271"
"1200","LINC00299"
"1201","LINC00340"
"1202","LINC00461"
"1203","LINC00836"
"1204","LINC00908"
"1205","LINC01080"
"1206","LINC01138"
"1207","LINC01338"
"1208","LINGO2"
"1209","LIPT1"
"1210","LIX1"
"1211","LL22NC03-2H8.5"
"1212","LLNLF-96A1.1"
"1213","LLfos-48D6.2"
"1214","LMBR1"
"1215","LMNA"
"1216","LMO3"
"1217","LMTK2"
"1218","LONP2"
"1219","LONRF3"
"1220","LPIN1"
"1221","LPIN3"
"1222","LPP"
"1223","LRAT"
"1224","LRFN2"
"1225","LRIG1"
"1226","LRP1"
"1227","LRP1B"
"1228","LRP4"
"1229","LRRC1"
"1230","LRRC16A"
"1231","LRRC17"
"1232","LRRC3B"
"1233","LRRC4C"
"1234","LRRC55"
"1235","LRRC6"
"1236","LRRC63"
"1237","LRRC7"
"1238","LRRTM1"
"1239","LRRTM4"
"1240","LRSAM1"
"1241","LSAMP"
"1242","LSM5"
"1243","LSM6"
"1244","LTBP1"
"1245","LTBP3"
"1246","LUZP2"
"1247","LYG1"
"1248","LYN"
"1249","LYPD1"
"1250","LYPLAL1"
"1251","LZTS1"
"1252","MAATS1"
"1253","MACF1"
"1254","MAEA"
"1255","MAGED1"
"1256","MAGI1"
"1257","MAGI2"
"1258","MAGI3"
"1259","MAL"
"1260","MALAT1"
"1261","MAML2"
"1262","MAMLD1"
"1263","MAN1A2"
"1264","MAN1C1"
"1265","MAN2B1"
"1266","MAN2C1"
"1267","MAOA"
"1268","MAOB"
"1269","MAP1B"
"1270","MAP2"
"1271","MAP3K20"
"1272","MAP3K4"
"1273","MAP3K5"
"1274","MAP3K7CL"
"1275","MAP4K2"
"1276","MAP4K4"
"1277","MAP4K5"
"1278","MAP7"
"1279","MAPK10"
"1280","MAPK13"
"1281","MAPK8"
"1282","MAPKAP1"
"1283","MAPRE2"
"1284","MARCH1"
"1285","MARCH3"
"1286","MARCKS"
"1287","MARK1"
"1288","MARS"
"1289","MAST3"
"1290","MAST4"
"1291","MAT2A"
"1292","MATN2"
"1293","MBNL1"
"1294","MBOAT1"
"1295","MBP"
"1296","MBTD1"
"1297","MC1R"
"1298","MCC"
"1299","MCF2L"
"1300","MCF2L2"
"1301","MCL1"
"1302","MDGA2"
"1303","ME1"
"1304","MED11"
"1305","MED12L"
"1306","MED13L"
"1307","MEF2D"
"1308","MEG3"
"1309","MEGF9"
"1310","MEIS1"
"1311","MEIS2"
"1312","MERTK"
"1313","MEST"
"1314","METTL12"
"1315","MFGE8"
"1316","MFSD11"
"1317","MFSD2A"
"1318","MGAT4C"
"1319","MGLL"
"1320","MGMT"
"1321","MGST1"
"1322","MICAL1"
"1323","MICAL2"
"1324","MICALL2"
"1325","MIEN1"
"1326","MINK1"
"1327","MINOS1"
"1328","MIR181A1HG"
"1329","MIR325HG"
"1330","MIR34AHG"
"1331","MIR99AHG"
"1332","MKL1"
"1333","MKLN1"
"1334","MLC1"
"1335","MLH3"
"1336","MLLT3"
"1337","MMD2"
"1338","MMP16"
"1339","MMP17"
"1340","MMRN1"
"1341","MNT"
"1342","MOB3B"
"1343","MORC1"
